CustomerID,Contract,"Payment Method","Tenure Months","Total Revenue",Gender,Age,"Internet Type","Customer Status","Churn Category"
2840-XANRC,Month-to-month,"Electronic check",24,2617.45,Male,77,Cable,Churned,Competitor
5020-ZSTTY,"One year","Bank transfer (automatic)",54,5002.42,Female,70,DSL,Churned,Competitor
5804-LEPIM,Month-to-month,"Electronic check",2,165.39,Female,74,"Fiber Optic",Churned,Other
0623-IIHUG,Month-to-month,"Electronic check",21,840.1,Female,77,Cable,Churned,Competitor
9057-MSWCO,Month-to-month,"Credit card (automatic)",27,945.1,Male,71,Cable,Churned,Competitor
4895-TMWIR,Month-to-month,"Mailed check",11,539.69,Male,79,None,Churned,Competitor
0533-BNWKF,Month-to-month,"Electronic check",55,7319.8,Female,66,"Fiber Optic",Churned,Competitor
0334-GDDSO,Month-to-month,"Electronic check",3,261.36,Male,77,"Fiber Optic",Churned,Competitor
5564-NEMQO,Month-to-month,"Bank transfer (automatic)",1,130.39,Female,80,"Fiber Optic",Churned,Dissatisfaction
6235-VDHOM,Month-to-month,"Electronic check",5,131.05,Female,77,DSL,Churned,Dissatisfaction
5609-CEBID,Month-to-month,"Electronic check",20,2837,Female,77,"Fiber Optic",Churned,Competitor
5956-VKDTT,Month-to-month,"Electronic check",5,563.6,Female,72,"Fiber Optic",Churned,Dissatisfaction
0257-ZESQC,Month-to-month,"Bank transfer (automatic)",27,2118.89,Female,80,Cable,Churned,Attitude
2865-TCHJW,Month-to-month,"Electronic check",4,539.6,Female,74,Cable,Churned,Competitor
5192-EBGOV,Month-to-month,"Electronic check",1,131.51,Female,68,"Fiber Optic",Churned,Competitor
3419-SNJJD,Month-to-month,"Bank transfer (automatic)",65,7981.75,Female,78,"Fiber Optic",Churned,Attitude
4554-YGZIH,Month-to-month,"Credit card (automatic)",49,5670.33,Male,75,"Fiber Optic",Churned,Competitor
5099-BAILX,Month-to-month,"Bank transfer (automatic)",43,5312.26,Male,77,"Fiber Optic",Churned,Competitor
4913-EHYUI,"One year","Bank transfer (automatic)",56,8527.45,Male,80,"Fiber Optic",Churned,Competitor
1626-ERCMM,Month-to-month,"Electronic check",20,2005.85,Male,75,"Fiber Optic",Churned,Competitor
5644-PDMZC,Month-to-month,"Electronic check",2,256.44,Female,69,"Fiber Optic",Churned,Attitude
4160-AMJTL,Month-to-month,"Electronic check",8,387.9,Female,74,None,Churned,Attitude
0823-HSCDJ,Month-to-month,"Electronic check",52,2580.9,Male,76,DSL,Churned,Competitor
0067-DKWBL,Month-to-month,"Electronic check",2,179.08,Male,69,DSL,Churned,Competitor
5244-IRFIH,Month-to-month,"Electronic check",33,4022.29,Male,72,"Fiber Optic",Churned,Other
2684-EIWEO,Month-to-month,"Credit card (automatic)",30,4134.55,Female,69,"Fiber Optic",Churned,Competitor
6683-VLCTZ,Month-to-month,"Electronic check",20,2851.6,Male,73,"Fiber Optic",Churned,Competitor
0691-IFBQW,"One year","Electronic check",46,4983.82,Female,65,"Fiber Optic",Churned,Competitor
3643-AHCFP,Month-to-month,"Bank transfer (automatic)",7,797.72,Male,74,Cable,Churned,Competitor
9231-ZJYAM,Month-to-month,"Electronic check",4,440.52,Female,65,"Fiber Optic",Churned,Other
0727-BMPLR,"One year","Electronic check",55,7665.2,Female,66,"Fiber Optic",Churned,Competitor
0947-MUGVO,Month-to-month,"Electronic check",20,1570.9,Male,71,"Fiber Optic",Churned,Competitor
0781-LKXBR,Month-to-month,"Electronic check",9,1356.99,Male,65,"Fiber Optic",Churned,Competitor
1907-UBQFC,Month-to-month,"Electronic check",10,773.25,Male,69,"Fiber Optic",Churned,Competitor
6513-EECDB,Month-to-month,"Electronic check",1,110.47,Male,75,"Fiber Optic",Churned,Price
7074-IEVOJ,Month-to-month,"Electronic check",3,330.75,Female,75,"Fiber Optic",Churned,Dissatisfaction
4750-ZRXIU,Month-to-month,"Electronic check",4,386.82,Female,68,Cable,Churned,Competitor
7028-DVOIQ,Month-to-month,"Electronic check",35,4244.85,Male,71,"Fiber Optic",Churned,Other
4208-UFFGW,Month-to-month,"Mailed check",2,138.39,Male,80,DSL,Churned,Other
9889-TMAHG,Month-to-month,"Credit card (automatic)",8,924.91,Male,66,"Fiber Optic",Churned,Competitor
8919-FYFQZ,Month-to-month,"Electronic check",44,1359.7,Male,73,Cable,Churned,Competitor
6646-QVXLR,"One year","Electronic check",62,6824.17,Male,77,"Fiber Optic",Churned,Competitor
9369-XFEHK,Month-to-month,"Bank transfer (automatic)",33,3751.77,Female,76,Cable,Churned,Competitor
1374-DMZUI,Month-to-month,"Electronic check",4,622.45,Female,65,"Fiber Optic",Churned,Competitor
1989-PRJHP,Month-to-month,"Electronic check",27,2180.15,Male,75,"Fiber Optic",Churned,Competitor
4822-RVYBB,Month-to-month,"Electronic check",8,1143,Male,75,"Fiber Optic",Churned,Attitude
4184-TJFAN,Month-to-month,"Mailed check",3,351.06,Female,68,"Fiber Optic",Churned,Attitude
4145-UQXUQ,Month-to-month,"Electronic check",8,1073.39,Female,71,"Fiber Optic",Churned,Competitor
1236-WFCDV,Month-to-month,"Credit card (automatic)",14,1424.44,Male,74,"Fiber Optic",Churned,Competitor
1271-SJBGZ,Month-to-month,"Electronic check",12,526.95,Male,77,DSL,Churned,Competitor
4441-NIHPT,Month-to-month,"Electronic check",13,1465.16,Female,73,"Fiber Optic",Churned,Competitor
8999-BOHSE,Month-to-month,"Bank transfer (automatic)",11,1091.26,Female,68,"Fiber Optic",Churned,Attitude
7029-RPUAV,Month-to-month,"Credit card (automatic)",17,2101.51,Male,74,Cable,Churned,Competitor
8111-SLLHI,Month-to-month,"Electronic check",39,5581.55,Male,65,"Fiber Optic",Churned,Attitude
5293-WXJAK,Month-to-month,"Bank transfer (automatic)",11,1323.4,Female,73,"Fiber Optic",Churned,Competitor
4086-YQSNZ,Month-to-month,"Electronic check",3,233.92,Female,74,"Fiber Optic",Churned,Attitude
8399-YNDCH,Month-to-month,"Bank transfer (automatic)",21,1963.17,Male,80,DSL,Churned,Competitor
5565-FILXA,Month-to-month,"Electronic check",16,2149.2,Female,76,"Fiber Optic",Churned,Other
4187-CINZD,"One year","Credit card (automatic)",46,4706.18,Female,73,"Fiber Optic",Churned,Competitor
6818-WOBHJ,Month-to-month,"Bank transfer (automatic)",68,7768.44,Female,70,"Fiber Optic",Churned,Competitor
9134-CEQMF,Month-to-month,"Electronic check",7,772.11,Male,75,"Fiber Optic",Churned,Dissatisfaction
8519-IMDHU,Month-to-month,"Bank transfer (automatic)",15,2024.3,Male,74,Cable,Churned,Competitor
3372-KWFBM,Month-to-month,"Electronic check",16,1587.88,Male,76,"Fiber Optic",Churned,Dissatisfaction
7206-GZCDC,Month-to-month,"Electronic check",1,98.93,Female,75,Cable,Churned,Attitude
1768-ZAIFU,Month-to-month,"Electronic check",1,25.2,Female,74,Cable,Churned,Competitor
3793-MMFUH,Month-to-month,"Electronic check",13,1537.39,Female,73,"Fiber Optic",Churned,Competitor
6567-HOOPW,Month-to-month,"Electronic check",1,99.26,Female,69,"Fiber Optic",Churned,Competitor
8621-MNIHH,Month-to-month,"Electronic check",34,3315.47,Female,75,"Fiber Optic",Churned,Competitor
5419-CONWX,Month-to-month,"Credit card (automatic)",4,493.57,Female,65,"Fiber Optic",Churned,Competitor
7024-OHCCK,Month-to-month,"Electronic check",2,209.39,Female,77,"Fiber Optic",Churned,Other
5357-TZHPP,Month-to-month,"Credit card (automatic)",9,1009.7,Male,67,"Fiber Optic",Churned,Attitude
0506-LVNGN,Month-to-month,"Credit card (automatic)",5,561.3,Female,78,"Fiber Optic",Churned,Competitor
9809-IMGCQ,Month-to-month,"Electronic check",22,3066.91,Male,65,"Fiber Optic",Churned,Competitor
3254-YRILK,Month-to-month,"Electronic check",19,2535.23,Male,74,"Fiber Optic",Churned,Competitor
0529-ONKER,Month-to-month,"Electronic check",15,1842.35,Male,70,"Fiber Optic",Churned,Attitude
5240-IJOQT,Month-to-month,"Electronic check",1,86.04,Male,69,"Fiber Optic",Churned,Competitor
0661-XEYAN,Month-to-month,"Mailed check",1,45.8,Female,76,DSL,Churned,Competitor
2660-EMUBI,Month-to-month,"Electronic check",10,1312.05,Male,71,"Fiber Optic",Churned,Competitor
7675-OZCZG,Month-to-month,"Electronic check",3,227.52,Female,76,DSL,Churned,Competitor
9391-EOYLI,Month-to-month,"Electronic check",12,1033.84,Male,77,"Fiber Optic",Churned,Competitor
2761-OCIAX,Month-to-month,"Electronic check",2,178.42,Male,74,"Fiber Optic",Churned,Competitor
3068-OMWZA,Month-to-month,"Electronic check",1,148.4,Male,77,"Fiber Optic",Churned,Competitor
4154-AQUGT,Month-to-month,"Bank transfer (automatic)",13,1188.46,Male,76,"Fiber Optic",Churned,Competitor
8017-LXHFA,Month-to-month,"Electronic check",23,3010.51,Female,77,"Fiber Optic",Churned,Competitor
4248-QPAVC,Month-to-month,"Bank transfer (automatic)",17,2089.39,Female,80,"Fiber Optic",Churned,Competitor
4690-LLKUA,Month-to-month,"Electronic check",17,1466.41,Male,68,DSL,Churned,Competitor
9490-DFPMD,Month-to-month,"Electronic check",42,3941.61,Female,79,"Fiber Optic",Churned,Competitor
8580-AECUZ,Month-to-month,"Electronic check",1,121.4,Male,65,"Fiber Optic",Churned,Competitor
5047-LHVLY,Month-to-month,"Mailed check",1,89.93,Male,68,Cable,Churned,Competitor
8375-DKEBR,Month-to-month,"Electronic check",1,104.11,Female,72,"Fiber Optic",Churned,Competitor
7279-BUYWN,Month-to-month,"Electronic check",41,5835.45,Female,66,"Fiber Optic",Churned,Attitude
7156-MHUGY,Month-to-month,"Electronic check",13,1650.74,Male,68,"Fiber Optic",Churned,Competitor
9606-PBKBQ,Month-to-month,"Electronic check",32,2784.16,Male,69,"Fiber Optic",Churned,Attitude
3536-IQCTX,Month-to-month,"Electronic check",32,4248.3,Male,76,"Fiber Optic",Churned,Competitor
3132-TVFDZ,Month-to-month,"Electronic check",57,2560.88,Male,70,Cable,Churned,Attitude
8080-DDEMJ,Month-to-month,"Electronic check",1,60.38,Male,71,Cable,Churned,Attitude
6702-OHFWR,Month-to-month,"Electronic check",1,43.3,Male,75,DSL,Churned,Other
4510-PYUSH,Month-to-month,"Credit card (automatic)",38,3242.45,Female,67,DSL,Churned,Attitude
8840-DQLGN,Month-to-month,"Bank transfer (automatic)",35,4212.65,Female,65,Cable,Churned,Attitude
4193-ORFCL,Month-to-month,"Mailed check",1,60.34,Female,80,DSL,Churned,Competitor
7776-QWNFX,Month-to-month,"Bank transfer (automatic)",30,1667,Male,71,DSL,Churned,Attitude
6689-TCZHQ,Month-to-month,"Electronic check",5,439.75,Female,70,"Fiber Optic",Churned,Attitude
9497-QCMMS,Month-to-month,"Electronic check",1,123.72,Male,73,"Fiber Optic",Churned,Competitor
3424-NMNBO,"One year","Electronic check",58,9151.29,Male,78,"Fiber Optic",Churned,Competitor
4514-GFCFI,Month-to-month,"Electronic check",16,1630.31,Female,76,"Fiber Optic",Churned,Attitude
8000-REIQB,Month-to-month,"Electronic check",1,102.45,Female,73,"Fiber Optic",Churned,Competitor
4795-KTRTH,Month-to-month,"Electronic check",5,577.41,Female,68,"Fiber Optic",Churned,Competitor
9961-JBNMK,Month-to-month,"Bank transfer (automatic)",21,2907.77,Male,79,"Fiber Optic",Churned,Dissatisfaction
6179-GJPSO,Month-to-month,"Credit card (automatic)",43,5969.39,Female,67,"Fiber Optic",Churned,Competitor
8290-YWKHZ,Month-to-month,"Electronic check",32,3992.8,Female,69,"Fiber Optic",Churned,Competitor
8051-HJRLT,Month-to-month,"Electronic check",1,88.75,Female,72,"Fiber Optic",Churned,Attitude
4021-RQSNY,Month-to-month,"Electronic check",29,3754.22,Male,75,"Fiber Optic",Churned,Attitude
9061-TIHDA,Month-to-month,"Electronic check",13,1597.66,Male,67,Cable,Churned,Competitor
8699-ASUFO,Month-to-month,"Mailed check",7,557.88,Male,72,"Fiber Optic",Churned,Attitude
4695-WJZUE,Month-to-month,"Electronic check",2,222.39,Female,68,"Fiber Optic",Churned,Competitor
3988-RQIXO,Month-to-month,"Electronic check",1,134.91,Female,68,"Fiber Optic",Churned,Attitude
5931-FLJJF,Month-to-month,"Mailed check",7,559.67,Male,75,"Fiber Optic",Churned,Attitude
3207-OYBWH,Month-to-month,"Bank transfer (automatic)",57,8259.33,Male,74,"Fiber Optic",Churned,Attitude
7216-EWTRS,Month-to-month,"Electronic check",1,118.15,Female,78,"Fiber Optic",Churned,Attitude
2528-HFYZX,Month-to-month,"Electronic check",17,1251.25,Male,66,"Fiber Optic",Churned,Competitor
4140-MUHUG,Month-to-month,"Electronic check",3,276.09,Female,73,"Fiber Optic",Churned,Attitude
1587-FKLZB,Month-to-month,"Credit card (automatic)",66,8726.91,Male,79,"Fiber Optic",Churned,Competitor
5440-FLBQG,"Two year","Bank transfer (automatic)",69,10690.92,Male,69,"Fiber Optic",Churned,Attitude
2774-LVQUS,Month-to-month,"Electronic check",15,2030.25,Female,65,"Fiber Optic",Churned,Competitor
4612-THJBS,"One year","Bank transfer (automatic)",56,7447.13,Female,68,"Fiber Optic",Churned,Attitude
4094-NSEDU,Month-to-month,"Electronic check",21,2417.9,Female,79,"Fiber Optic",Churned,Competitor
1846-XWOQN,Month-to-month,"Electronic check",1,118.12,Female,80,"Fiber Optic",Churned,Competitor
3757-NJYBX,Month-to-month,"Bank transfer (automatic)",32,3774.19,Male,77,"Fiber Optic",Churned,Other
9898-KZQDZ,Month-to-month,"Credit card (automatic)",40,5620.45,Female,65,"Fiber Optic",Churned,Competitor
8263-JQAIK,Month-to-month,"Mailed check",2,47.5,Male,66,DSL,Churned,Competitor
2205-YMZZJ,Month-to-month,"Electronic check",7,823.52,Male,75,"Fiber Optic",Churned,Competitor
1254-IZEYF,Month-to-month,"Electronic check",31,4406.81,Female,74,"Fiber Optic",Churned,Competitor
9221-OTIVJ,Month-to-month,"Electronic check",14,1950.84,Female,80,"Fiber Optic",Churned,Dissatisfaction
5908-QMGOE,Month-to-month,"Credit card (automatic)",15,1443.54,Male,74,"Fiber Optic",Churned,Competitor
0397-GZBBC,Month-to-month,"Bank transfer (automatic)",59,6202.64,Male,70,"Fiber Optic",Churned,Price
7641-EUYET,Month-to-month,"Electronic check",46,6753.62,Male,76,"Fiber Optic",Churned,Dissatisfaction
8922-LIEGH,Month-to-month,"Electronic check",25,3073.22,Female,72,"Fiber Optic",Churned,Dissatisfaction
8245-UMPYT,Month-to-month,"Electronic check",16,2047.76,Female,66,"Fiber Optic",Churned,Dissatisfaction
5186-SAMNZ,Month-to-month,"Bank transfer (automatic)",1,190.7,Male,75,"Fiber Optic",Churned,Price
5373-SFODM,Month-to-month,"Credit card (automatic)",36,4016.19,Male,65,"Fiber Optic",Churned,Dissatisfaction
0022-TCJCI,"One year","Credit card (automatic)",45,3271.65,Male,79,DSL,Churned,Dissatisfaction
5130-IEKQT,Month-to-month,"Mailed check",25,3813.75,Male,73,"Fiber Optic",Churned,Price
3269-ATYWD,Month-to-month,"Bank transfer (automatic)",39,5544.32,Male,79,"Fiber Optic",Churned,Other
0354-WYROK,Month-to-month,"Electronic check",31,4397.75,Female,70,"Fiber Optic",Churned,Other
7576-OYWBN,Month-to-month,"Electronic check",3,322.55,Male,71,"Fiber Optic",Churned,Competitor
5539-TMZLF,Month-to-month,"Electronic check",1,103.59,Male,69,"Fiber Optic",Churned,Competitor
3336-JORSO,Month-to-month,"Electronic check",33,4294.37,Female,70,"Fiber Optic",Churned,Dissatisfaction
6861-XWTWQ,Month-to-month,"Electronic check",7,965.89,Male,71,"Fiber Optic",Churned,Attitude
4283-FUTGF,Month-to-month,"Electronic check",19,1790.57,Male,67,"Fiber Optic",Churned,Dissatisfaction
2397-BRLOM,Month-to-month,"Credit card (automatic)",8,799.37,Male,67,"Fiber Optic",Churned,Other
8510-AWCXC,Month-to-month,"Electronic check",13,1401.96,Female,69,"Fiber Optic",Churned,Attitude
8225-BTJAU,Month-to-month,"Electronic check",10,868.65,Male,75,"Fiber Optic",Churned,Competitor
1724-BQUHA,Month-to-month,"Electronic check",5,706.3,Male,67,"Fiber Optic",Churned,Attitude
4826-XTSOH,Month-to-month,"Electronic check",1,124.83,Male,66,"Fiber Optic",Churned,Competitor
2408-WITXK,Month-to-month,"Electronic check",10,329.8,Female,67,DSL,Churned,Other
2634-HCZGT,"One year","Electronic check",53,4478.16,Male,71,Cable,Churned,Other
7503-QQRVF,Month-to-month,"Credit card (automatic)",16,1596.17,Male,74,"Fiber Optic",Churned,Competitor
0709-TVGUR,Month-to-month,"Electronic check",9,747.69,Female,70,"Fiber Optic",Churned,Competitor
3001-CBHLQ,Month-to-month,"Electronic check",32,4710.14,Male,76,"Fiber Optic",Churned,Attitude
4102-OQUPX,Month-to-month,"Electronic check",1,121.76,Male,67,"Fiber Optic",Churned,Competitor
3999-QGRJH,Month-to-month,"Electronic check",8,679.97,Male,80,"Fiber Optic",Churned,Dissatisfaction
2454-RPBRZ,Month-to-month,"Electronic check",12,1378.7,Female,67,"Fiber Optic",Churned,Dissatisfaction
2265-CYWIV,Month-to-month,"Electronic check",4,397.5,Female,68,"Fiber Optic",Churned,Dissatisfaction
4550-VBOFE,Month-to-month,"Electronic check",70,8307.76,Male,69,"Fiber Optic",Churned,Competitor
7409-KIUTL,Month-to-month,"Electronic check",1,99.64,Female,80,"Fiber Optic",Churned,Competitor
1732-VHUBQ,Month-to-month,"Bank transfer (automatic)",47,4548.91,Female,73,"Fiber Optic",Churned,Competitor
0679-IDSTG,Month-to-month,"Electronic check",1,106.55,Female,73,"Fiber Optic",Churned,Competitor
8802-UNOJF,Month-to-month,"Mailed check",12,1408.73,Male,65,Cable,Churned,Competitor
6313-GIDIT,Month-to-month,"Electronic check",53,2834.39,Male,73,DSL,Churned,Price
2845-AFFTX,Month-to-month,"Electronic check",41,5175.38,Male,78,"Fiber Optic",Churned,Dissatisfaction
2815-CPTUL,Month-to-month,"Mailed check",5,330.77,Male,68,"Fiber Optic",Churned,Price
1891-FZYSA,Month-to-month,"Electronic check",69,7373.82,Male,65,"Fiber Optic",Churned,Competitor
9685-WKZGT,Month-to-month,"Electronic check",14,1225.94,Male,67,"Fiber Optic",Churned,Price
6022-UGGSO,Month-to-month,"Electronic check",32,3295.68,Female,70,"Fiber Optic",Churned,Competitor
3923-CSIHK,Month-to-month,"Electronic check",50,3674.85,Female,69,Cable,Churned,Other
3677-IYRBF,Month-to-month,"Electronic check",2,78.65,Female,73,DSL,Churned,Attitude
8118-LSUEL,Month-to-month,"Electronic check",23,2888.76,Male,74,"Fiber Optic",Churned,Dissatisfaction
5277-ZLOOR,Month-to-month,"Electronic check",2,198.43,Female,78,"Fiber Optic",Churned,Dissatisfaction
4248-HCETZ,Month-to-month,"Mailed check",30,2552.05,Male,77,"Fiber Optic",Churned,Attitude
9174-FKWZE,Month-to-month,"Electronic check",1,42.37,Female,70,None,Churned,Dissatisfaction
5307-DZCVC,Month-to-month,"Credit card (automatic)",32,4195,Female,78,"Fiber Optic",Churned,Price
8679-JOEVF,Month-to-month,"Electronic check",16,1613.18,Female,75,DSL,Churned,Price
4803-AXVYP,Month-to-month,"Electronic check",38,5535.07,Female,75,"Fiber Optic",Churned,Dissatisfaction
5649-ANRML,Month-to-month,"Credit card (automatic)",2,206.17,Male,76,"Fiber Optic",Churned,Other
7395-IGJOS,Month-to-month,"Bank transfer (automatic)",17,1490.7,Male,70,"Fiber Optic",Churned,Competitor
7890-VYYWG,Month-to-month,"Mailed check",3,93.7,Male,67,DSL,Churned,Competitor
9907-SWKKF,Month-to-month,"Mailed check",1,25.05,Female,69,DSL,Churned,Competitor
6397-JNZZG,Month-to-month,"Credit card (automatic)",43,2342.2,Female,70,DSL,Churned,Competitor
7779-LGOVN,Month-to-month,"Electronic check",10,1321.65,Male,74,Cable,Churned,Dissatisfaction
9710-ZUSHQ,Month-to-month,"Bank transfer (automatic)",37,5605.2,Female,77,"Fiber Optic",Churned,Price
3902-FOIGH,Month-to-month,"Electronic check",12,1800.55,Male,66,"Fiber Optic",Churned,Dissatisfaction
3318-OSATS,Month-to-month,"Electronic check",35,4782.55,Male,70,"Fiber Optic",Churned,Other
2636-ALXXZ,Month-to-month,"Electronic check",1,115.4,Female,68,"Fiber Optic",Churned,Dissatisfaction
9885-CSMWE,Month-to-month,"Electronic check",1,96.82,Female,65,"Fiber Optic",Churned,Dissatisfaction
8058-JMEQO,Month-to-month,"Electronic check",9,878.69,Female,76,"Fiber Optic",Churned,Competitor
7657-DYEPJ,"One year","Credit card (automatic)",38,2715.85,Male,73,Cable,Churned,Price
8276-MQBYC,Month-to-month,"Electronic check",51,5907.29,Male,70,"Fiber Optic",Churned,Price
6015-VVHHE,Month-to-month,"Credit card (automatic)",5,655.2,Female,68,"Fiber Optic",Churned,Dissatisfaction
2516-VQRRV,Month-to-month,"Mailed check",2,205.32,Female,77,"Fiber Optic",Churned,Price
7580-UGXNC,Month-to-month,"Mailed check",2,155.68,Female,73,DSL,Churned,Price
5178-LMXOP,Month-to-month,"Electronic check",1,99.99,Male,71,"Fiber Optic",Churned,Price
7056-IMHCC,Month-to-month,"Electronic check",53,5970.22,Male,69,"Fiber Optic",Churned,Price
8749-JMNKX,Month-to-month,"Bank transfer (automatic)",51,5880.09,Male,80,"Fiber Optic",Churned,Dissatisfaction
0917-EZOLA,"Two year","Bank transfer (automatic)",72,8124.11,Male,66,"Fiber Optic",Churned,Price
8414-MYSHR,Month-to-month,"Electronic check",5,472.7,Male,79,"Fiber Optic",Churned,Dissatisfaction
4988-IQIGL,Month-to-month,"Electronic check",1,103.84,Male,80,"Fiber Optic",Churned,Attitude
4706-AXVKM,Month-to-month,"Credit card (automatic)",11,951.95,Female,78,"Fiber Optic",Churned,Price
5889-JTMUL,Month-to-month,"Electronic check",50,6516.7,Female,67,"Fiber Optic",Churned,Price
9026-RNUJS,Month-to-month,"Electronic check",5,330.7,Male,73,DSL,Churned,Dissatisfaction
1624-NALOJ,Month-to-month,"Electronic check",5,684.4,Male,75,"Fiber Optic",Churned,Other
6210-KBBPI,Month-to-month,"Credit card (automatic)",9,1015.34,Male,67,"Fiber Optic",Churned,Competitor
2260-USTRB,Month-to-month,"Bank transfer (automatic)",2,135.05,Female,75,"Fiber Optic",Churned,Competitor
8623-TMRBY,Month-to-month,"Electronic check",51,6368.63,Male,80,Cable,Churned,Competitor
6900-PXRMS,Month-to-month,"Electronic check",26,2833.01,Male,72,"Fiber Optic",Churned,Dissatisfaction
3346-BRMIS,Month-to-month,"Electronic check",18,810.7,Female,70,DSL,Churned,Dissatisfaction
2722-JMONI,Month-to-month,"Electronic check",1,73.79,Female,73,Cable,Churned,Dissatisfaction
7579-OOPEC,Month-to-month,"Credit card (automatic)",2,128.82,Female,75,DSL,Churned,Competitor
1771-OADNZ,Month-to-month,"Electronic check",29,3821.22,Male,70,"Fiber Optic",Churned,Price
0612-RTZZA,Month-to-month,"Electronic check",1,25.25,Female,77,DSL,Churned,Price
4433-JCGCG,Month-to-month,"Electronic check",46,4926.61,Male,80,"Fiber Optic",Churned,Competitor
9488-HGMJH,Month-to-month,"Electronic check",1,115.9,Female,78,"Fiber Optic",Churned,Competitor
4818-QIUFN,Month-to-month,"Electronic check",20,1757.3,Female,69,"Fiber Optic",Churned,Attitude
6961-VCPMC,Month-to-month,"Electronic check",46,5861.72,Male,71,"Fiber Optic",Churned,Competitor
4424-TKOPW,Month-to-month,"Electronic check",2,247.13,Male,70,"Fiber Optic",Churned,Price
4201-JMNGR,Month-to-month,"Electronic check",1,82.02,Female,66,Cable,Churned,Dissatisfaction
1866-RZZQS,Month-to-month,"Electronic check",41,5912.21,Male,77,"Fiber Optic",Churned,Competitor
8631-NBHFZ,"Two year","Credit card (automatic)",66,7286.58,Male,71,DSL,Churned,Competitor
4958-XCBDQ,Month-to-month,"Electronic check",35,4885.45,Male,68,"Fiber Optic",Churned,Competitor
8337-UPOAQ,Month-to-month,"Electronic check",10,1083.1,Male,71,"Fiber Optic",Churned,Competitor
6712-OAWRH,Month-to-month,"Electronic check",26,3253.74,Female,79,"Fiber Optic",Churned,Attitude
5914-DVBWJ,Month-to-month,"Electronic check",18,1548.33,Female,80,"Fiber Optic",Churned,Competitor
8644-XLFBW,Month-to-month,"Electronic check",1,100.11,Male,65,"Fiber Optic",Churned,Competitor
1833-VGRUM,Month-to-month,"Electronic check",1,123.15,Female,70,"Fiber Optic",Churned,Price
8374-XGEJJ,Month-to-month,"Electronic check",43,5882.15,Male,68,"Fiber Optic",Churned,Dissatisfaction
6946-LMSQS,"One year","Electronic check",25,3018.2,Male,80,"Fiber Optic",Churned,Competitor
4039-HEUNW,Month-to-month,"Electronic check",36,4034.06,Male,77,"Fiber Optic",Churned,Price
0812-WUPTB,Month-to-month,"Mailed check",1,120.45,Male,65,"Fiber Optic",Churned,Price
2403-BCASL,"One year","Electronic check",41,6381.54,Male,66,Cable,Churned,Other
3871-IKPYH,Month-to-month,"Electronic check",1,85.29,Male,70,"Fiber Optic",Churned,Other
1304-NECVQ,Month-to-month,"Electronic check",2,237.47,Female,69,"Fiber Optic",Churned,Competitor
5655-JSMZM,Month-to-month,"Electronic check",49,6303.89,Male,66,"Fiber Optic",Churned,Attitude
4505-EXZHB,Month-to-month,"Electronic check",6,507.56,Female,75,"Fiber Optic",Churned,Competitor
8972-HJWNV,Month-to-month,"Electronic check",7,796.86,Female,75,"Fiber Optic",Churned,Competitor
2860-RANUS,Month-to-month,"Credit card (automatic)",20,2313.3,Female,67,"Fiber Optic",Churned,Price
